1129.26 10285.57 2016-11-09 20:58:56
1097.54 10285.57 2016-11-09 21:04:05
899.17 10285.57 2016-11-09 21:09:15
835.65 10285.57 2016-11-09 21:14:25
726.07 10285.57 2016-11-09 21:19:35
738.2 10285.57 2016-11-09 21:24:45
751.73 10285.57 2016-11-09 21:29:54
745.24 10285.57 2016-11-09 21:35:05
743.96 10285.57 2016-11-09 21:40:15
800.65 10285.57 2016-11-09 21:45:25
748 10285.57 2016-11-09 21:50:35
766.41 10285.57 2016-11-09 21:55:44
740.25 10285.57 2016-11-09 22:00:54
739.44 10285.57 2016-11-09 22:06:04
757.68 10285.57 2016-11-09 22:11:14
783.58 10285.57 2016-11-09 22:16:24
735.56 10285.57 2016-11-09 22:21:33
716.91 10285.57 2016-11-09 22:26:43
734.94 10285.57 2016-11-09 22:31:53
705.28 10285.57 2016-11-09 22:37:03
740.16 10285.57 2016-11-09 22:42:12
750.73 10285.57 2016-11-09 22:47:23
740.84 10285.57 2016-11-09 22:52:32
756.23 10285.57 2016-11-09 22:57:42
731.38 10285.57 2016-11-09 23:02:52
702.97 10285.57 2016-11-09 23:08:02
703.59 10285.57 2016-11-09 23:13:11
738.15 10285.57 2016-11-09 23:18:21
754.58 10285.57 2016-11-09 23:23:31
737.75 10285.57 2016-11-09 23:28:40
736.69 10285.57 2016-11-09 23:33:56
684.35 10285.57 2016-11-09 23:39:07
734.12 10285.57 2016-11-09 23:44:16
708.7 10285.57 2016-11-09 23:49:27
714.38 10285.57 2016-11-09 23:54:36
710.44 10285.57 2016-11-09 23:59:46
723.95 10285.57 2016-11-10 00:05:09
692.99 10285.57 2016-11-10 00:10:19
671.57 10285.57 2016-11-10 00:15:29
663.5 10285.57 2016-11-10 00:20:39
672.3 10285.57 2016-11-10 00:25:49
637.5 10285.57 2016-11-10 00:30:59
660.58 10285.57 2016-11-10 00:36:09
688.35 10285.57 2016-11-10 00:41:19
662.84 10285.57 2016-11-10 00:46:29
664.27 10285.57 2016-11-10 00:51:39
680.58 10285.57 2016-11-10 00:56:48
692.09 10285.57 2016-11-10 01:01:58
688.75 10285.57 2016-11-10 01:07:08
674.61 10285.57 2016-11-10 01:12:18
689.51 10285.57 2016-11-10 01:17:28
671.11 10285.57 2016-11-10 01:22:38
678.18 10285.57 2016-11-10 01:27:49
683.16 10285.57 2016-11-10 01:32:59
700.06 10285.57 2016-11-10 01:38:09
686.4 10285.57 2016-11-10 01:43:19
688.51 10285.57 2016-11-10 01:48:30
673.79 10285.57 2016-11-10 01:53:40
680.19 10285.57 2016-11-10 01:58:50
657.72 10285.57 2016-11-10 02:04:00
660.01 10285.57 2016-11-10 02:09:10
683.73 10285.57 2016-11-10 02:14:20
667.57 10285.57 2016-11-10 02:19:29
682.48 10285.57 2016-11-10 02:24:40
686.99 10285.57 2016-11-10 02:29:50
683.07 10285.57 2016-11-10 02:35:00
714.48 10285.57 2016-11-10 02:40:10
699.39 10285.57 2016-11-10 02:45:20
701.31 10285.57 2016-11-10 02:50:44
720.75 10285.57 2016-11-10 02:55:54
697.81 10285.57 2016-11-10 03:01:04
677.47 10285.57 2016-11-10 03:06:13
669.95 10285.57 2016-11-10 03:11:24
664.39 10285.57 2016-11-10 03:16:33
684.93 10285.57 2016-11-10 03:21:44
698.62 10285.57 2016-11-10 03:26:53
697.09 10285.57 2016-11-10 03:32:03
709.29 10285.57 2016-11-10 03:37:13
688.14 10285.57 2016-11-10 03:42:23
678.03 10285.57 2016-11-10 03:47:33
712.26 10285.57 2016-11-10 03:52:43
697.76 10285.57 2016-11-10 03:57:53
710.57 10285.57 2016-11-10 04:03:03
697.31 10285.57 2016-11-10 04:08:13
